metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
Acetoacetyl-ACPs		RXN-9514		2.3.1.180-RXN	2.3.1.180-RXN;3-OXOACYL-ACP-SYNTH-BASE-RXN	2.3.1.180-RXN
GUANOSINE-5DP-3DP			RXN0-7291	GDPPYPHOSKIN-RXN;PPPGPPHYDRO-RXN	GDPPYPHOSKIN-RXN	GDPPYPHOSKIN-RXN
DNA-Adenines	2.1.1.72-RXN	2.1.1.72-RXN	2.1.1.72-RXN			
Oxidized-ferredoxins		PYRUFLAVREDUCT-RXN		ISPH2-RXN;1.18.1.2-RXN;RXN0-884	1.18.1.2-RXN;RXN-18388	1.18.1.2-RXN;RXN-18388
Initiation-tRNAmet	RXN-16165	RXN-16165	RXN-16165			
CR+3				RXN0-3381		
SS-Oligodeoxyribonucleotides				3.1.11.6-RXN	3.1.11.6-RXN	3.1.11.6-RXN
Saturated-Fatty-Acyl-ACPs	3-OXOACYL-ACP-SYNTH-RXN	3-OXOACYL-ACP-SYNTH-RXN	3-OXOACYL-ACP-SYNTH-RXN		RXN-17126;ENOYL-ACP-REDUCT-NADH-RXN;ENOYL-ACP-REDUCT-NADPH-RXN	
GLT-tRNAs	GLURS-RXN	GLURS-RXN				
CPD-8259				RXN-14227		RXN-14227
CPD0-1085				RXN-16938	RXN-16938	RXN-16938
Oxidized-2Fe-2S-Ferredoxins				RXN-11586	RXN-11586;2.8.1.6-RXN	RXN-11586
CPD-13851			RXN0-6957	RXN-14290	RXN-14290	RXN-14290
LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-1-2	RXN-15289					
INDOLE_PYRUVATE		4.1.1.74-RXN		TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN-AMINOTRANSFERASE-RXN;RXN-14685
Protein-Ox-Disulfides				DISULFOXRED-RXN	DISULFOXRED-RXN	DISULFOXRED-RXN
O-SUCCINYL-L-HOMOSERINE	RXN-9384;O-SUCCHOMOSERLYASE-RXN;RXN-18602	RXN-9384;O-SUCCHOMOSERLYASE-RXN;RXN-18602	RXN-9384;O-SUCCHOMOSERLYASE-RXN;RXN-18602	HOMSUCTRAN-RXN	HOMSUCTRAN-RXN	HOMSUCTRAN-RXN
CPD-569				RXN-0	RXN-0	RXN-0
CPD-11998	2.4.1.129-RXN			RXN-11029	RXN-11029	RXN-11029
HIS	HISTIDINE--TRNA-LIGASE-RXN	HISTIDINE--TRNA-LIGASE-RXN	HISTIDINE--TRNA-LIGASE-RXN;HISTIDINE-AMMONIA-LYASE-RXN	RXN-8001	RXN-8001	RXN-8001
CPD-14133				RXN-20456	RXN-20456	RXN-20456
tRNAs-with-queuine				QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	RXN-12104
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	TETHYDPICSUCC-RXN;RXN-4821	2.3.1.89-RXN;RXN-4821	2.3.1.89-RXN;RXN-4821	RXN-7737;RXN-14014	RXN-14014	RXN-7737;RXN-14014
H2CO3	RXN-18031	RXN-18031	RXN-18031			
Teichoic-P-Gro		TEICHOICSYN5-RXN	TEICHOICSYN5-RXN	TEICHOICSYN4-RXN		
XYLITOL	D-XYLULOSE-REDUCTASE-RXN					
CPD-17583				3.4.24.32-RXN	3.4.24.32-RXN	3.4.24.32-RXN
CPD-15189				RXN-17388		
Lipoprotein-signal-peptide				RXN-17362	RXN-17362	RXN-17362
DEOXYXYLULOSE-5P	THIAZOLSYN2-RXN			DXS-RXN;DXPREDISOM-RXN	DXS-RXN	
ACETYL-COA	RXN-19536;RXN0-7165;RXN-9939;PHOSACETYLTRANS-RXN;RXN-17860;CITSYN-RXN;PYRUVFORMLY-RXN;DIHYDLIPACETRANS-RXN;GALACTOACETYLTRAN-RXN;RXN-9382;RXN-17861;2-ISOPROPYLMALATESYN-RXN;N-ACETYLTRANSFER-RXN;RXN-17862;RXN-17864;DIAMACTRANS-RXN;2.3.1.180-RXN;RXN-18434;SPERMACTRAN-RXN;RXN-17859;RXN-10837;RXN-17863;RXN-0	RXN1G-4;RXN0-7014;SERINE-O-ACETTRAN-RXN;RXN-17960;RXN-19536;ACETYL-COA-ACETYLTRANSFER-RXN;RXN0-7165;RXN-17961;RXN-9939;PHOSACETYLTRANS-RXN;HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN;RXN-17860;RXN-17962;PYRUVFORMLY-RXN;DIHYDLIPACETRANS-RXN;GALACTOACETYLTRAN-RXN;RXN-9382;RXN-17861;TDPFUCACTRANS-RXN;2-ISOPROPYLMALATESYN-RXN;N-ACETYLTRANSFER-RXN;RXN-17862;MALTACETYLTRAN-RXN;RXN-12565;DIAMACTRANS-RXN;2.3.1.180-RXN;RXN-17864;RXN-17963;RXN0-5055;2.3.1.89-RXN;SPERMACTRAN-RXN;RXN-17859;RXN-10837;RXN-17863;RXN-0;ACETYL-COA-CARBOXYLTRANSFER-RXN	RXN1G-4;SERINE-O-ACETTRAN-RXN;RXN-19536;RXN0-7165;RXN-9939;PHOSACETYLTRANS-RXN;HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN;CITSYN-RXN;PYRUVFORMLY-RXN;DIHYDLIPACETRANS-RXN;2-ISOPROPYLMALATESYN-RXN;N-ACETYLTRANSFER-RXN;DIAMACTRANS-RXN;2.3.1.180-RXN;RXN0-5055;2.3.1.89-RXN;SPERMACTRAN-RXN;RXN-0;ACETYL-COA-CARBOXYLTRANSFER-RXN	RXN0-1133;RXN-9718	PYRUFLAVREDUCT-RXN;RXN-17778;RXN-20153;RXN-17782;RXN0-1133;RXN-13617;RXN-14277;PYFLAVOXRE-RXN;RXN-14274;RXN-14394	RXN0-1133
CPD-13357	DIHYDROXYISOVALDEHYDRAT-RXN	DIHYDROXYISOVALDEHYDRAT-RXN	DIHYDROXYISOVALDEHYDRAT-RXN	ACETOLACTREDUCTOISOM-RXN	ACETOLACTREDUCTOISOM-RXN	ACETOLACTREDUCTOISOM-RXN
Oligonucleotides	3.1.13.3-RXN	3.1.13.3-RXN	3.1.13.3-RXN		3.1.26.8-RXN	3.1.26.8-RXN
GlgE-Glycogen				RXN-18777	RXN-18777	
ASN		ASPARAGINE--TRNA-LIGASE-RXN;ASPARAGHYD-RXN	ASPARAGINE--TRNA-LIGASE-RXN;ASPARAGHYD-RXN	RXN-12460	RXN-12460;ASNSYNB-RXN	RXN-12460;ASNSYNA-RXN
MELIBIOSE	ALPHAGALACTOSID-RXN					
CPD-22852				RXN-21228		RXN-21228
2-Acylglycero-Phosphocholines	RXN-16225					
ANDROSTAN-3-ALPHA17-BETA-DIOL	1.1.1.53-RXN					
CPD-6761				RXN-11543		
N-SUCCINYLLL-2-6-DIAMINOPIMELATE	SUCCDIAMINOPIMDESUCC-RXN					
CysO-Sulfur-carrier-proteins	RXN-18666	RXN-18666	RXN-18666			
Branched-L-arabinans	RXN-19758					
Flavodoxins-Semiquinones				RXN-19892;RNTRACTIV-RXN;TDCEACT-RXN	RNTRACTIV-RXN;TDCEACT-RXN	RNTRACTIV-RXN;TDCEACT-RXN
ALPHA-D-GALACTOSE	GALACTOKIN-RXN	GALACTOKIN-RXN;RXN-22738	GALACTOKIN-RXN	RXN-17754;RXN-12088;RXN-11502;RXN-11501;ALDOSE1EPIM-RXN	ALDOSE1EPIM-RXN	
Ribonuc-tri-P-reductases-inactive	RNTRACTIV-RXN	RNTRACTIV-RXN	RNTRACTIV-RXN			
Oxidized-Disulfide-Carrier-Proteins	DISULFOXRED-RXN	DISULFOXRED-RXN	DISULFOXRED-RXN			
CPD-19311	TRANS-RXN-314	TRANS-RXN-314;6.1.1.13-RXN	TRANS-RXN-314;6.1.1.13-RXN	TRANS-RXN-314	TRANS-RXN-314	TRANS-RXN-314
N-terminal-L-alanine-sulfenate	RXN-17882	RXN-17882	RXN-17882	RXN-17881	RXN-17881	RXN-17881
CPD-17989	RXN-17391	RXN-17391	RXN-17391	RXN-17391	RXN-17391	RXN-17391
CPD-24926				RXN-22715	RXN-22715	RXN-22715
ETOH	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN			
Pup-C-terminal-L-glutamine	RXN-16706					
3-P-SERINE	RXN0-5114;PSERTRANSAM-RXN	RXN0-5114;PSERTRANSAM-RXN	RXN0-5114;PSERTRANSAM-RXN			
CPD-14443	RXN-14014	RXN-14014	RXN-14014	DIHYDRODIPICSYN-RXN	DIHYDRODIPICSYN-RXN	DIHYDRODIPICSYN-RXN
Cys-tRNA-Pro	RXN-21077	RXN-21077	RXN-21077			
CPD-15373	RXN-14500;RXN-14501	RXN-15162	RXN-15162			
CPD-10723	RXN-15152				GLUCISOM-RXN	
Teichoic-Acid	3.6.3.40-RXN	3.6.3.40-RXN	3.6.3.40-RXN	3.6.3.40-RXN	3.6.3.40-RXN	3.6.3.40-RXN
23S-rRNA-2-methyladenine2503				RXN-11586	RXN-11586	RXN-11586
CPD-15317				RXN0-1441;RIBOKIN-RXN	RXN0-1441;RIBOKIN-RXN	
N-terminal-L-cysteine-sulfonate				RXN-17883	RXN-17883	RXN-17883
Protein-Red-Disulfides	DISULFOXRED-RXN	DISULFOXRED-RXN	DISULFOXRED-RXN			
Diacylglycerol-Prolipoproteins				RXN-17362	RXN-17362	RXN-17362
CPD-1062	5.1.3.9-RXN	5.1.3.9-RXN				
Negatively-super-coiled-DNAs	5.99.1.2-RXN	5.99.1.2-RXN	5.99.1.2-RXN	5.99.1.3-RXN	5.99.1.3-RXN	5.99.1.3-RXN
D-TRYPTOPHAN				RXN-19729	RXN-19729	RXN-19729
CPD-13227	RXN-12626	RXN-12626				
D-ALA-D-ALA	UDP-NACMURALGLDAPAALIG-RXN;6.3.2.10-RXN	UDP-NACMURALGLDAPAALIG-RXN;6.3.2.10-RXN	UDP-NACMURALGLDAPAALIG-RXN;6.3.2.10-RXN	DALADALALIG-RXN	DALADALALIG-RXN	
a-glycopeptide-D-mannosyl-Nsup4sup-N-ace	3.2.1.96-RXN					
Donor-H2	RXN-18666;RXN0-5063;RXN-21560;RXN-18089;RXN-20037	RXN-18666;RXN-21560;RXN-9010;RXN-20037;RXN-16820;RXN0-2023	RXN-18666;RXN0-5063;RXN-21241;RXN-21560;RXN-10851;RXN-12104;RXN-20037;RXN-16820;RXN0-2023	RXN-11042;RXN-6081;NADPH-DEHYDROGENASE-RXN	RXN-11042;RXN-6081	RXN-6081
General-Protein-Substrates	RXN-21299;3.4.24.11-RXN;3.4.21.107-RXN;3.4.21.53-RXN;3.4.21.92-RXN	RXN-21299;3.4.24.11-RXN;3.4.21.107-RXN;3.4.21.53-RXN;3.4.21.92-RXN;3.4.21.96-RXN;3.4.24.38-RXN	3.4.21.92-RXN;3.4.21.107-RXN;3.4.24.11-RXN;RXN-21299	RXN0-1061	RXN0-1061	RXN0-1061
Charged-HIS-tRNAs				HISTIDINE--TRNA-LIGASE-RXN	HISTIDINE--TRNA-LIGASE-RXN	HISTIDINE--TRNA-LIGASE-RXN
Apo-EntF	RXN-15889	RXN-15889	RXN-15889			
GMP-LYSINE-PHOSPHORAMIDATE	RXN0-4121		RXN0-4121			
XANTHINE	XANPRIBOSYLTRAN-RXN	XANPRIBOSYLTRAN-RXN	XANPRIBOSYLTRAN-RXN		XANTHOSINEPHOSPHORY-RXN	XANTHOSINEPHOSPHORY-RXN
AMP	AMP-DEPHOSPHORYLATION-RXN;ADENYL-KIN-RXN	ADENYL-KIN-RXN	AMP-DEPHOSPHORYLATION-RXN;ADENYL-KIN-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN;RXN-18666;PRPPSYN-RXN;RXN-14461;NADPYROPHOSPHAT-RXN;THREONINE--TRNA-LIGASE-RXN;RXN0-4401;RXN-7904;GLYCINE--TRNA-LIGASE-RXN;CYSTEINE--TRNA-LIGASE-RXN;ISOLEUCINE--TRNA-LIGASE-RXN;ALANINE--TRNA-LIGASE-RXN;RXN0-1441;DNA-LIGASE-NAD+-RXN;RXN-16380;HISTIDINE--TRNA-LIGASE-RXN;6.1.1.23-RXN;RXN-14570;RXN0-5422;GTPPYPHOSKIN-RXN;SERINE--TRNA-LIGASE-RXN;PROLINE--TRNA-LIGASE-RXN;RXN-20037;GDPPYPHOSKIN-RXN;TYROSINE--TRNA-LIGASE-RXN;AMPSYN-RXN;METHIONINE--TRNA-LIGASE-RXN;RXN-10;VALINE--TRNA-LIGASE-RXN;GLURS-RXN;RXN-1961;RXN-16165;ARGININE--TRNA-LIGASE-RXN;ASPARTATE--TRNA-LIGASE-RXN;RXN0-2161;PHENYLALANINE--TRNA-LIGASE-RXN;LYSINE--TRNA-LIGASE-RXN;ARGSUCCINSYN-RXN;BIOTINLIG-RXN;ADENPRIBOSYLTRAN-RXN;GMP-SYN-GLUT-RXN;LEUCINE--TRNA-LIGASE-RXN;RXN490-3616;NAD-SYNTH-GLN-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN;RXN-18666;PRPPSYN-RXN;RXN-14461;NADPYROPHOSPHAT-RXN;RXN0-6727;THREONINE--TRNA-LIGASE-RXN;RXN0-1141;NAD-SYNTH-NH3-RXN;RXN0-4401;RXN-7904;GLYCINE--TRNA-LIGASE-RXN;CYSTEINE--TRNA-LIGASE-RXN;ISOLEUCINE--TRNA-LIGASE-RXN;ALANINE--TRNA-LIGASE-RXN;ASPARAGINE--TRNA-LIGASE-RXN;RXN0-1441;DNA-LIGASE-NAD+-RXN;RXN0-6524;RXN-16380;RXN-18693;HISTIDINE--TRNA-LIGASE-RXN;RXN-16393;SERINE--TRNA-LIGASE-RXN;RXN-14570;RXN-9644;GTPPYPHOSKIN-RXN;PROLINE--TRNA-LIGASE-RXN;RXN-20037;GDPPYPHOSKIN-RXN;RXN0-5098;RXN-16820;AMPSYN-RXN;METHIONINE--TRNA-LIGASE-RXN;RXN-10;RXN0-2023;THIAMIN-PYROPHOSPHOKINASE-RXN;TYROSINE--TRNA-LIGASE-RXN;RXN-9623;VALINE--TRNA-LIGASE-RXN;GLURS-RXN;RXN-18388;RXN-1961;RXN0-5038;RXN-17127;ASNSYNB-RXN;RXN-16165;RXN-15714;ARGININE--TRNA-LIGASE-RXN;ASPARTATE--TRNA-LIGASE-RXN;RXN-18014;PHENYLALANINE--TRNA-LIGASE-RXN;RXN0-2161;RXN-13141;BIOTINLIG-RXN;ARGSUCCINSYN-RXN;GMP-SYN-GLUT-RXN;ADENPRIBOSYLTRAN-RXN;LYSINE--TRNA-LIGASE-RXN;O-SUCCINYLBENZOATE-COA-LIG-RXN;LEUCINE--TRNA-LIGASE-RXN;NAD-SYNTH-GLN-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN;RXN-18666;PRPPSYN-RXN;RXN-14461;RXN0-6727;THREONINE--TRNA-LIGASE-RXN;NAD-SYNTH-NH3-RXN;H2PTERIDINEPYROPHOSPHOKIN-RXN;GLYCINE--TRNA-LIGASE-RXN;CYSTEINE--TRNA-LIGASE-RXN;ALANINE--TRNA-LIGASE-RXN;ASPARAGINE--TRNA-LIGASE-RXN;DNA-LIGASE-NAD+-RXN;RXN0-6524;RXN-18693;HISTIDINE--TRNA-LIGASE-RXN;SERINE--TRNA-LIGASE-RXN;RXN-14570;GTPPYPHOSKIN-RXN;RXN-15733;PROLINE--TRNA-LIGASE-RXN;RXN-20037;GDPPYPHOSKIN-RXN;TYROSINE--TRNA-LIGASE-RXN;RXN-16820;AMPSYN-RXN;METHIONINE--TRNA-LIGASE-RXN;ASNSYNA-RXN;RXN-10;RXN0-2023;THIAMIN-PYROPHOSPHOKINASE-RXN;VALINE--TRNA-LIGASE-RXN;RXN-1961;RXN-18388;RXN0-5038;RXN-16165;ARGININE--TRNA-LIGASE-RXN;ASPARTATE--TRNA-LIGASE-RXN;RXN-18014;PHENYLALANINE--TRNA-LIGASE-RXN;RXN0-2161;RXN-13141;LYSINE--TRNA-LIGASE-RXN;BIOTINLIG-RXN;ARGSUCCINSYN-RXN;ADENPRIBOSYLTRAN-RXN;GMP-SYN-GLUT-RXN;LEUCINE--TRNA-LIGASE-RXN;NAD-SYNTH-GLN-RXN
CPD-21340	RXN-9204	RXN-9204				
CPD-15818	RXN-14883;RXN-14882	RXN-14883;RXN-14882	RXN-14883;RXN-14882	RXN0-5305	RXN0-5305	RXN0-5305
Carboxylates				RXN-21069;RXN-16225;RXN-19312;ACYLPHOSPHATASE-RXN;LYSOPHOSPHOLIPASE-RXN;RXN-19311	PENICILLIN-AMIDASE-RXN;CARBOXYLESTERASE-RXN;ACYLPHOSPHATASE-RXN	ACYLPHOSPHATASE-RXN;ACYL-COA-HYDROLASE-RXN
a-thymine-in-DNA				RXN-17824	RXN-17824	RXN-17824
DIACETYL		RXN-11032	RXN-11032	RXN-6081	RXN-6081	RXN-6081
N-acetyl-D-glucosamine	N-ACETYLGLUCOSAMINE-KINASE-RXN;RXN-18662	RXN0-5413		RXN-18082;RXN-12626;RXN-12625	RXN-18082;RXN-12626;RXN-12625	
Acetylated-S5-N-terminal-L-alanine				RXN-18434		
tRNA-fragment				3.1.26.5-RXN;RXN0-6480	3.1.26.5-RXN;RXN0-6480	3.1.26.5-RXN;RXN0-6480
CPD-13997	RXN-13028			RXN-18305		
PANTOTHENATE	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN				
ETR-Quinones	RXN-14971;DIHYDROOROTATE-DEHYDROGENASE-RXN;NQOR-RXN	RXN-14971;NQOR-RXN			RXN-20992	
Double-Stranded-DNA-with-terminal-PO4s				3.1.21.3-RXN	3.1.21.3-RXN	3.1.21.3-RXN
AMMONIUM	GLUTAMINESYN-RXN	CARBAMATE-KINASE-RXN;NAD-SYNTH-NH3-RXN;GLUTAMINESYN-RXN	RXN-12093;NAD-SYNTH-NH3-RXN;ASNSYNA-RXN	RXN-19558;3.5.1.29-RXN;RXN-21220;RXN-19547;CYSTATHIONINE-BETA-LYASE-RXN;RXN-16706;GLUCOSAMINE-6-P-DEAMIN-RXN;PYRAZIN-RXN;RXN-15123;METHIONINE-GAMMA-LYASE-RXN;RXN-19560;S-ALKYLCYSTEINE-LYASE-RXN;NICOTINAMID-RXN;ASPARTASE-RXN;4.3.1.17-RXN;RXN-11063;3.4.22.40-RXN;RXN-11064;RXN-19556;GLUTDEHYD-RXN;RXN-19583;RXN-11811;RXN-15127;RXN-19562;RXN-6763;RXN-12613;THREDEHYD-RXN;RXN0-1081;RXN-13997;RXN-19554;DCTP-DEAM-RXN;RXN-12729;RXN-19145;RXN-21219;RXN-19544;RXN-8899;RXN-14118;RXN-18212;GCVMULTI-RXN;RXN-19550;RXN-13329;RXN-19552;RXN0-5222	RXN-19558;RXN-21220;RXN-19547;CYSTATHIONINE-BETA-LYASE-RXN;GLUCOSAMINE-6-P-DEAMIN-RXN;PYRAZIN-RXN;RXN-15123;METHIONINE-GAMMA-LYASE-RXN;RXN-19560;RXN0-6575;S-ALKYLCYSTEINE-LYASE-RXN;NICOTINAMID-RXN;4.3.1.17-RXN;RXN-11063;3.4.22.40-RXN;RXN-11064;RXN-19556;ARGININE-DEIMINASE-RXN;RXN-19583;RXN-11811;RXN-15127;RXN-19562;RXN-6763;RXN-12613;CYTIDEAM-RXN;THREDEHYD-RXN;RXN0-1081;RXN-13997;RXN-19554;RXN-12729;RXN-21219;RXN-19544;RXN-8899;RXN0-5222;GMP-REDUCT-RXN;ADDALT-RXN;RXN-18212;RXN-19550;AGMATINE-DEIMINASE-RXN;RXN-13329;RXN-19552;CYTIDEAM2-RXN;ASPARAGHYD-RXN;ADENODEAMIN-RXN	RXN-19558;RXN-21220;RXN-19547;CYSTATHIONINE-BETA-LYASE-RXN;GLUCOSAMINE-6-P-DEAMIN-RXN;RXN-15123;RXN-19560;RXN0-6575;S-ALKYLCYSTEINE-LYASE-RXN;GCVT-RXN;4.3.1.17-RXN;3.4.22.40-RXN;RXN-19556;GLUTDEHYD-RXN;RXN-19583;RXN-11811;RXN-15127;RXN-19562;RXN-6763;UREASE-RXN;CYTIDEAM-RXN;THREDEHYD-RXN;RXN0-1081;RXN-13997;RXN-19554;RXN-12729;RXN-21219;ALANINE-DEHYDROGENASE-RXN;HISTIDINE-AMMONIA-LYASE-RXN;RXN-19544;RXN-8899;RXN0-5222;ADDALT-RXN;RXN-18212;RXN-13072;RXN-19550;RXN-19552;CYTIDEAM2-RXN;ASPARAGHYD-RXN;ADENODEAMIN-RXN
CIT	RXN-14047	RXN-14047	RXN-14047	CITSYN-RXN		CITSYN-RXN
CPD-22077				RXN-20400		
CPD-644	PHENYLSERINE-ALDOLASE-RXN					
L-PHOSPHINOTHRICIN	RXN-9382	RXN-9382				
DNA-Containing-N6-Methyladenine				2.1.1.72-RXN	2.1.1.72-RXN	2.1.1.72-RXN
BCAA-dehydrogenase-DH-lipoyl	RXN-7719	RXN-7719	RXN-7719			
Sulfur-Carrier-Proteins-ThiI	RXN-9787	RXN-9787	RXN-9787		RXN-18388	RXN-18388
Thiocarboxylated-CysO				RXN-18666	RXN-18666	RXN-18666
LUTEOLIN-7-O-BETA-D-GLUCURONIDE	RXN-15291					
ACP	MALONYL-COA-ACP-TRANSACYL-RXN	MALONYL-COA-ACP-TRANSACYL-RXN	MALONYL-COA-ACP-TRANSACYL-RXN	RXN0-947;RXN-9632;3-OXOACYL-ACP-SYNTH-RXN;RXN-13037	RXN-9535;RXN-9527;3-OXOACYL-ACP-SYNTH-BASE-RXN;3-OXOACYL-ACP-SYNTH-RXN;RXN-9531;RXN-9539;RXN-9516;RXN-16629;RXN-9523;RXN-9590;1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN;RXN-10462	RXN-16625;RXN-10654;3-OXOACYL-ACP-SYNTH-RXN;RXN0-2141;RXN-10658;RXN-16621;RXN-16629;RXN-16615;RXN-9590
Protein-flavinated-threonines				RXN-14461	RXN-14461	RXN-14461
CHOLINE		CHOLINE-KINASE-RXN		CHOLINE-SULFATASE-RXN		
CPDQT-28				RXN-18207;RXNQT-4168	RXN-18207;RXNQT-4168	RXN-18207;RXNQT-4168
OCTAPRENYL-DIPHOSPHATE	DMK-RXN	DMK-RXN		RXN-8992		
L-GAMMA-GLUTAMYLCYSTEINE				GLUTCYSLIG-RXN		
TMP	DTMPKI-RXN	DTMPKI-RXN	DTMPKI-RXN	THYMIDYLATESYN-RXN	THYKI-RXN;THYMIDYLATESYN-RXN	THYKI-RXN;THYMIDYLATESYN-RXN
ASPARTYL-ASX-TRNAS				6.1.1.23-RXN		
CPD-9777				RXN-11192		
CPD-564	RIBOSYLHOMOCYSTEINASE-RXN	RIBOSYLHOMOCYSTEINASE-RXN	RIBOSYLHOMOCYSTEINASE-RXN	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
IMIDAZOLE-PYRUVATE				RXN-7572	RXN-7572	RXN-7572
CPD-57	OLEATE-HYDRATASE-RXN	OLEATE-HYDRATASE-RXN	OLEATE-HYDRATASE-RXN			
PRO	PROLINE--TRNA-LIGASE-RXN	PROLINE--TRNA-LIGASE-RXN	PROLINE--TRNA-LIGASE-RXN	PYRROLINECARBREDUCT-RXN;3.4.11.5-RXN	PYRROLINECARBREDUCT-RXN;3.4.13.9-RXN	PYRROLINECARBREDUCT-RXN;3.4.11.5-RXN;3.4.13.9-RXN
tRNA-Adenine-58	RXN-12466					
D-Allose	ABC-42-RXN	ABC-42-RXN	ABC-42-RXN	ABC-42-RXN	ABC-42-RXN	ABC-42-RXN
CH33ADO	RXN0-6550	RXN0-6550	RXN0-6550	RXN-20179;RXN0-5063;RNTRACTIV-RXN;PYRIMSYN1-RXN;RXN-20178;RXN-11586;TDCEACT-RXN	RXN-20179;RXN-9010;RNTRACTIV-RXN;RXN-20178;2.8.1.6-RXN;RXN-11586;TDCEACT-RXN	RXN0-5063;RXN-21241;RNTRACTIV-RXN;RXN-21239;RXN-11586;TDCEACT-RXN
Unsulfurated-Sulfur-Acceptors	RXN-12588	RXN-12588	RXN-12588	RXN0-5063;RXN-18666;RXN0-6359	RXN-18666;RXN0-6359;2.8.1.6-RXN	RXN0-5063;RXN-18666;RXN0-6359
D-fructose-1-phosphate				RXN-15084		
CPD0-2353	RXN0-6484;RXN0-6482			3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN
CYTIDINE		RXN-22505;CYTIDEAM2-RXN;CYTIKIN-RXN;CYTIDINEKIN-RXN	CYTIDEAM2-RXN;CYTIKIN-RXN;CYTIDINEKIN-RXN	RXN-14026		RXN-14090;RXN-14026
CPD-1130	RXN-14986	RXN-14986	RXN-14986			
CPD-653		RXN0-6727	RXN0-6727	RXN-12753	RXN-12753	RXN-12753
2-AMINOACRYLATE	RXN-15124;RXN-8899	RXN-15124;RXN-8899	RXN-15124;RXN-8899			
DIGLUCOACETYL-DOCOSANOATE	DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN			DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN		
UNDECAPRENYL-DIPHOSPHATE	UNDECAPRENYL-DIPHOSPHATASE-RXN	UNDECAPRENYL-DIPHOSPHATASE-RXN	UNDECAPRENYL-DIPHOSPHATASE-RXN	RXN-11291;RXN-11348;RXN-11350;RXN-14712;RXN-22556;RXN-15521;RXN-22558;RXN-22557;RXN-16650	RXN-22557;RXN-11350;RXN-16650;RXN-8999	RXN-8999;RXN-16650
LYS2-peptidyl-carrier-protein	RXN-16759	RXN-16759	RXN-16759			
CPD-9189	RXN-8852					
N-ACETYL-GLUTAMYL-P				ACETYLGLUTKIN-RXN;N-ACETYLGLUTPREDUCT-RXN	ACETYLGLUTKIN-RXN;N-ACETYLGLUTPREDUCT-RXN	ACETYLGLUTKIN-RXN;N-ACETYLGLUTPREDUCT-RXN
TRP	TRYPTOPHAN--TRNA-LIGASE-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;RXN-14685	TRYPSYN-RXN	TRYPSYN-RXN	TRYPSYN-RXN
TusA-L-cysteine	RXN-22700	RXN-22700	RXN-22700			
CPD-12308				RXN-11348		
CPD-16502				RXN-15297		
MONOMER0-4342	RXN-17362	RXN-17362	RXN-17362	RXN0-20	RXN0-20	RXN0-20
L-ASPARTATE-SEMIALDEHYDE	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;HOMOSERDEHYDROG-RXN;DIHYDRODIPICSYN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;HOMOSERDEHYDROG-RXN;DIHYDRODIPICSYN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;HOMOSERDEHYDROG-RXN;DIHYDRODIPICSYN-RXN			
2K-4CH3-PENTANOATE				RXN-13158;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;RXN-7800	RXN-13158;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;RXN-7800	RXN-13158;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;RXN-7800
Sialyloligosaccharides	3.2.1.18-RXN					
Glutamine-synthetase-adenylyl-Tyr				GSADENYLATION-RXN		
