metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
CANAVANINOSUCCINATE	RXN-22	RXN-22	RXN-22	RXN-10	RXN-10	RXN-10
Pyruvate-dehydrogenase-acetylDHlipoyl	RXN0-1133	RXN0-1133	RXN0-1133	RXN0-1134	RXN0-1134	
CPD-22847	RXN-21228		RXN-21228			
CPD-1142	TRANS-RXN-153A	TRANS-RXN-153A	TRANS-RXN-153A			
O-UREIDOHOMOSERINE	RXN-10	RXN-10	RXN-10			
N5-Formyl-THF-Glu-N	5-FORMYL-THF-CYCLO-LIGASE-RXN;RXN-6341	5-FORMYL-THF-CYCLO-LIGASE-RXN;RXN-6341	5-FORMYL-THF-CYCLO-LIGASE-RXN;RXN-6341	RXN-6341	RXN-6341	RXN-6341
CPD-12126		RXN-21392		RXN-21393;RXN-21415	RXN-21393;RXN-9205;RXN-21415	RXN-21415
C4	RXN-8976	RXN-8976	RXN-8976	RXN-8975	RXN-8975	RXN-8975
16S-rRNA-cytidine1402	RXN-11637;RXN-11638	RXN-11637;RXN-11638	RXN-11637;RXN-11638			
16S-rRNA-N3-methyluracil1498				RXN-11598	RXN-11598	RXN-11598
SUPER-OXIDE		SUPEROX-DISMUT-RXN	SUPEROX-DISMUT-RXN	RXN0-3381	RXN-12541	RXN-12541
CPD-9300	RXN-19562	RXN-19562	RXN-19562			
GLN	GLUTAMIDOTRANS-RXN;CTPSYN-RXN;ANTHRANSYN-RXN;GLUTAMATESYN-RXN;6.3.5.6-RXN;GMP-SYN-GLUT-RXN;L-GLN-FRUCT-6-P-AMINOTRANS-RXN;6.3.5.7-RXN;FGAMSYN-RXN;R345-RXN;RXN-11322;CARBPSYN-RXN;NAD-SYNTH-GLN-RXN	CARBPSYN-RXN;PABASYN-RXN;GLUTAMIDOTRANS-RXN;ASNSYNB-RXN;ANTHRANSYN-RXN;CTPSYN-RXN;GLUTAMATESYN-RXN;6.3.5.6-RXN;GMP-SYN-GLUT-RXN;L-GLN-FRUCT-6-P-AMINOTRANS-RXN;R345-RXN;FGAMSYN-RXN;6.3.5.7-RXN;NAD-SYNTH-GLN-RXN	GLUTAMIN-RXN;PABASYN-RXN;GLUTAMIDOTRANS-RXN;CTPSYN-RXN;ANTHRANSYN-RXN;6.3.5.6-RXN;GMP-SYN-GLUT-RXN;L-GLN-FRUCT-6-P-AMINOTRANS-RXN;6.3.5.7-RXN;FGAMSYN-RXN;R345-RXN;CARBPSYN-RXN;NAD-SYNTH-GLN-RXN	PRPPAMIDOTRANS-RXN;GLUTAMINESYN-RXN	PRPPAMIDOTRANS-RXN;GLUTAMINESYN-RXN	PRPPAMIDOTRANS-RXN
CPD-10011	RXN-10837	RXN-10837				
FAD	RXN-14461	RXN-14461	RXN-14461			
CPDQT-41				RXNQT-4178;RXN-18201	RXNQT-4178;RXN-18201	RXNQT-4178;RXN-18201
D-BETA-D-HEPTOSE-1-P	RXN0-4342					
PYRIDOXAL	PYRIDOXKIN-RXN	PYRIDOXKIN-RXN	PYRIDOXKIN-RXN			
CPD-10775	RXN-10018	RXN-10018	RXN-10018	RXN-10016	RXN-10016	RXN-10016
CPD-24843	RXN-22603	RXN-22603	RXN-22603	RXN-22604	RXN-22604	RXN-22604
N-ACETYL-D-GALACTOSAMINE-6-PHOSPHATE	3.5.1.80-RXN	3.5.1.80-RXN				
CPD-302		6.3.1.12-RXN;RXN-11342;RXN-11344		RXN-19728	RXN-19728;ASPARTATE-RACEMASE-RXN	RXN-19728
mRNAs-with-5-triphosphate	RXN0-5510	RXN0-5510	RXN0-5510			
Formate-acetyltransferase-glycine	TDCEACT-RXN	TDCEACT-RXN	TDCEACT-RXN			
Pyruvate-dehydrogenase-dihydrolipoate	RXN0-1132	RXN0-1132	RXN0-1132	RXN0-1133	RXN0-1133	RXN0-1133
GLUCOSAMINE-1P				5.4.2.10-RXN	5.4.2.10-RXN	5.4.2.10-RXN
D-Fructopyranose	RXN-15155					
